Image,PSNR,SSIM,RMSE,SAM
323,22.142991086936014,0.8221738,0.07813587039709091,0.13773687183856964
324,21.948813436203164,0.7418432,0.07990230619907379,0.18953867256641388
325,22.385284129776647,0.8027502,0.07598638534545898,0.1391499638557434
326,24.59589171761641,0.8243888,0.05891222506761551,0.13583077490329742
327,24.030461790504294,0.8193102,0.06287484616041183,0.1331670880317688
328,25.458537186872547,0.8575911,0.05334247276186943,0.132546067237854
329,24.55299467052411,0.83138186,0.059203892946243286,0.14093223214149475
330,17.665545230514937,0.6448254,0.1308346390724182,0.2770228683948517
331,24.12220433258152,0.82100034,0.062214236706495285,0.13075505197048187
332,16.605937107898775,0.6725278,0.14780977368354797,0.2903639078140259
333,16.002998905938743,0.5570392,0.15843461453914642,0.38570231199264526
334,21.868467809422537,0.80703574,0.08064484596252441,0.1504485309123993
335,19.29844626357633,0.703794,0.10841207951307297,0.18879784643650055
336,19.750098390662338,0.6731429,0.10291888564825058,0.24143192172050476
337,24.029417186115914,0.85702276,0.06288240104913712,0.11109893023967743
338,24.477581073145057,0.8772231,0.059720154851675034,0.1119600385427475
339,23.328975181841194,0.8593045,0.06816339492797852,0.11767685413360596
340,23.963694900841773,0.8317992,0.06336001306772232,0.13469696044921875
341,23.58807434965761,0.81438,0.06616012006998062,0.1550033539533615
342,22.822431491984165,0.82665205,0.07225675135850906,0.14756688475608826
343,21.68838126939043,0.80592614,0.08233433216810226,0.15833310782909393
344,15.274864499277566,0.46994957,0.1722887009382248,0.4584490656852722
345,12.743419094766033,0.34266457,0.23058393597602844,0.6075377464294434
346,15.374118393229079,0.5039243,0.17033115029335022,0.4291302561759949
347,18.277095873983008,0.6845172,0.12193973362445831,0.23722314834594727
348,23.07345287791749,0.8237629,0.0701984241604805,0.13996103405952454
349,22.269093431773207,0.796906,0.07700967788696289,0.16413076221942902
350,22.527886952355193,0.79612064,0.07474904507398605,0.1679420918226242
351,22.778738049925856,0.8408691,0.07262114435434341,0.12798833847045898
352,22.01543141523855,0.8179521,0.07929182797670364,0.12464924901723862
353,24.345157585484536,0.8652222,0.060637615621089935,0.11269432306289673
354,24.31348326297245,0.8414447,0.06085914373397827,0.1301260143518448
355,23.243315523920746,0.8114813,0.0688389465212822,0.15372362732887268
356,17.654004140517266,0.640208,0.1310085952281952,0.2951093018054962
357,16.39225657407821,0.6522477,0.15149112045764923,0.303388774394989
358,17.48229626137969,0.70183605,0.13362422585487366,0.24629278481006622
359,21.965247282631715,0.7952041,0.07975127547979355,0.15281404554843903
360,24.137273604906554,0.83824444,0.06210639700293541,0.13148468732833862
361,24.017480447758004,0.8720684,0.06296887993812561,0.11804042756557465
362,23.649171036859883,0.84194857,0.06569638103246689,0.10747049748897552
363,23.113473614905345,0.8263206,0.06987572461366653,0.1390739232301712
364,19.282779462669442,0.79157287,0.10860780626535416,0.163900226354599
365,24.307907996119713,0.873405,0.06089821830391884,0.10812050104141235
366,20.796537954169704,0.77930933,0.09123744070529938,0.18462975323200226
367,14.945825149255029,0.53902817,0.1789405345916748,0.39623019099235535
368,15.275251783753234,0.52502614,0.17228101193904877,0.4091862440109253
369,18.669682227812615,0.6795139,0.11655096709728241,0.2817603647708893
370,19.197076130072816,0.7008626,0.10968472808599472,0.24202555418014526
371,23.6862584459516,0.8485851,0.06541646271944046,0.131976917386055
372,20.912715379871074,0.77426296,0.09002523124217987,0.0670447126030922
373,20.12079081241631,0.7810157,0.09861896932125092,0.06881311535835266
374,21.17204788337154,0.7334328,0.08737709373235703,0.06610240042209625
375,20.150466821412913,0.71381074,0.09828260540962219,0.08545893430709839
376,19.200903369449765,0.69716626,0.10963641852140427,0.1041467934846878
377,19.398744649161323,0.70407176,0.10716741532087326,0.09383291006088257
378,18.15770066997414,0.6716697,0.12362746894359589,0.12432212382555008
379,16.21738853728891,0.66499394,0.15457192063331604,0.11262555420398712
380,15.14267534622035,0.48650393,0.17493078112602234,0.388053297996521
381,10.932174876571088,0.40732157,0.2840476930141449,0.4488345980644226
382,21.653383333208275,0.76128906,0.08266674727201462,0.06721995770931244
383,22.54716595745897,0.8206003,0.07458331435918808,0.05954008549451828
384,22.53868369544133,0.797348,0.07465618848800659,0.06253479421138763
